4th Quarter 2025,,,,,,,,,,,,,,,,
,Can,$ 0.1094 ,$ 0.1130 ,$ 0.1094 ,$ 0.1130 ,$ 0.0473 ,$ 0.0473 ,$ 0.1094 ,$ 0.1094 ,$ 0.1094 ,$ 0.1094 ,$ 0.1094 ,$ 0.1130 ,$-,$-,$-
,,,,,,,,,,,,,,,,
ARIZONA #7,U.S.,$ 0.1800 ,$ 0.2600 ,$ 0.1800 ,$-,$-,$-,$-,$-,$ 0.1800 ,$ 0.1800 ,$-,$ 0.2600 ,$-,$-,$-
,Can,$ 0.0657 ,$ 0.0948 ,$ 0.0657 ,$-,$-,$-,$-,$-,$ 0.0657 ,$ 0.0657 ,$-,$ 0.0948 ,$-,$-,$-
,,,,,,,,,,,,,,,,
ARKANSAS #29,U.S.,$ 0.2470 ,$ 0.2850 ,$ 0.2470 ,$ 0.1650 ,$ 0.0500 ,$ 0.0500 ,$ 0.2470 ,$ 0.2470 ,$ 0.2470 ,$ 0.2470 ,$-,$ 0.2850 ,$-,$-,$-
,Can,$ 0.0901 ,$ 0.1039 ,$ 0.0901 ,$ 0.0602 ,$ 0.0182 ,$ 0.0182 ,$ 0.0901 ,$ 0.0901 ,$ 0.0901 ,$ 0.0901 ,$-,$ 0.1039 ,$-,$-,$-
,,,,,,,,,,,,,,,,
CALIFORNIA #1,U.S.,$-,$ 0.9710 ,$-,$ 0.0600 ,$ 0.1017 ,$ 0.0887 ,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$ 0.9710 ,$ 0.9710 ,$-,$-,$-
,Can,$-,$ 0.3539 ,$-,$ 0.0219 ,$ 0.0371 ,$ 0.0323 ,$ 0.0328 ,$ 0.0328 ,$ 0.0328 ,$ 0.0328 ,$ 0.3539 ,$ 0.3539 ,$-,$-,$-
,,,,,,,,,,,,,,,,
COLORADO ,U.S.,$ 0.2700 ,$ 0.3250 ,$ 0.2700 ,$ 0.1350 ,$ 0.1200 ,$ 0.1830 ,$ 0.2700 ,$ 0.2700 ,$ 0.2700 ,$ 0.2700 ,$ 0.2700 ,$ 0.3250 ,$-,$-,$-
,Can,$ 0.0984 ,$ 0.1185 ,$ 0.0984 ,$ 0.0493 ,$ 0.0437 ,$ 0.0666 ,$ 0.0984 ,$ 0.0984 ,$ 0.0984 ,$ 0.0984 ,$ 0.0984 ,$ 0.1185 ,$-,$-,$-
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
CONNECTICUT #15,U.S.,$ 0.2500 ,$ 0.4890 ,$ 0.2500 ,$ 0.2600 ,$ 0.2600 ,$ 0.2600 ,$ 0.2500 ,$ 0.2500 ,$ 0.2500 ,$ 0.2500 ,$ 0.2500 ,$ 0.4890 ,$-,$-,$-
,Can,$ 0.0912 ,$ 0.1783 ,$ 0.0912 ,$ 0.0948 ,$ 0.0948 ,$ 0.0948 ,$ 0.0912 ,$ 0.0912 ,$ 0.0912 ,$ 0.0912 ,$ 0.0912 ,$ 0.1783 ,$-,$-,$-
,,,,,,,,,,,,,,,,
DELAWARE ,U.S.,$ 0.2300 ,$ 0.2200 ,$ 0.2300 ,$ 0.2200 ,$ 0.2200 ,$ 0.2200 ,$ 0.2300 ,$ 0.2300 ,$ 0.2200 ,$ 0.2200 ,$ 0.2200 ,$ 0.2200 ,$-,$-,$-
,Can,$ 0.0839 ,$ 0.0802 ,$ 0.0839 ,$ 0.0802 ,$ 0.0802 ,$ 0.0802 ,$ 0.0839 ,$ 0.0839 ,$ 0.0802 ,$ 0.0802 ,$ 0.0802 ,$ 0.0802 ,$-,$-,$-
,,,,,,,,,,,,,,,,
FLORIDA #18,U.S.,$ 0.4040 ,$ 0.4027 ,$ 0.4040 ,$-,$-,$-,$-,$-,$-,$-,$-,$ 0.4027 ,$-,$-,$-
,Can,$ 0.1472 ,$ 0.1468 ,$ 0.1472 ,$-,$-,$-,$-,$-,$-,$-,$-,$ 0.1468 ,$-,$-,$-
,,,,,,,,,,,,,,,,
GEORGIA #30,U.S.,$ 0.3310 ,$ 0.3710 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3310 ,$ 0.3710 ,$-,$-,$-
,Can,$ 0.1207 ,$ 0.1352 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1207 ,$ 0.1352 ,$-,$-,$-
,,,,,,,,,,,,,,,,
IDAHO #6,U.S.,$-,$ 0.3200 ,$-,$ 0.2320 ,$ 0.3490 ,$ 0.3200 ,$-,$-,$-,$-,$ 0.3200 ,$ 0.3200 ,$-,$ 0.3200 ,$-
,Can,$-,$ 0.1166 ,$-,$ 0.0846 ,$ 0.1272 ,$ 0.1166 ,$-,$-,$-,$-,$ 0.1166 ,$ 0.1166 ,$-,$ 0.1166 ,$-
,,,,,,,,,,,,,,,,
ILLINOIS #26,U.S.,$ 0.6690 ,$ 0.7490 ,$ 0.6690 ,$ 0.7300 ,$ 0.7110 ,$ 0.6090 ,$ 0.6690 ,$ 0.6690 ,$ 0.6690 ,$ 0.6690 ,$ 0.6690 ,$ 0.7490 ,$-,$-,$-
,Can,$ 0.2439 ,$ 0.2730 ,$ 0.2439 ,$ 0.2661 ,$ 0.2591 ,$ 0.2220 ,$ 0.2439 ,$ 0.2439 ,$ 0.2439 ,$ 0.2439 ,$ 0.2439 ,$ 0.2730 ,$-,$-,$-
,,,,,,,,,,,,,,,,
INDIANA #31,U.S.,$ 0.3600 ,$ 0.6100 ,$ 0.3600 ,$-,$ 0.6100 ,$ 0.6100 ,$ 0.3600 ,$ 0.3600 ,$ 0.3600 ,$ 0.3600 ,$ 0.3600 ,$ 0.6100 ,$ 0.0800 ,$ 0.0800 ,$ 0.0800 
,Can,$ 0.1312 ,$ 0.2224 ,$ 0.1312 ,$-,$ 0.2224 ,$ 0.2224 ,$ 0.1312 ,$ 0.1312 ,$ 0.1312 ,$ 0.1312 ,$ 0.1312 ,$ 0.2224 ,$ 0.0686 ,$ 0.0686 ,$ 0.0686 
,,,,,,,,,,,,,,,,
INDIANA SurChg #31,U.S.,$-,$-,$-,$ 0.6100 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,Can,$-,$-,$-,$ 0.2224 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
IOWA #25,U.S.,$ 0.3000 ,$ 0.3250 ,$ 0.3000 ,$ 0.3000 ,$ 0.3250 ,$ 0.3100 ,$ 0.2650 ,$ 0.3000 ,$ 0.2650 ,$ 0.3000 ,$ 0.3000 ,$ 0.2980 ,$ 0.0260 ,$ 0.6500 ,$-
,Can,$ 0.1094 ,$ 0.1185 ,$ 0.1094 ,$ 0.1094 ,$ 0.1185 ,$ 0.1130 ,$ 0.0966 ,$ 0.1094 ,$ 0.0966 ,$ 0.1094 ,$ 0.1094 ,$ 0.1086 ,$ 0.0359 ,$ 0.2369 ,$-
,,,,,,,,,,,,,,,,
KANSAS ,U.S.,$ 0.2400 ,$ 0.2600 ,$ 0.2400 ,$ 0.2300 ,$ 0.2600 ,$ 0.2400 ,$ 0.2400 ,$ 0.2600 ,$ 0.1700 ,$ 0.2400 ,$ 0.2600 ,$ 0.2600 ,$-,$-,$-
,Can,$ 0.0875 ,$ 0.0948 ,$ 0.0875 ,$ 0.0839 ,$ 0.0948 ,$ 0.0875 ,$ 0.0875 ,$ 0.0948 ,$ 0.0619 ,$ 0.0875 ,$ 0.0948 ,$ 0.0948 ,$-,$-,$-
,,,,,,,,,,,,,,,,
KENTUCKY ,U.S.,$ 0.2500 ,$ 0.2200 ,$ 0.2500 ,$ 0.2500 ,$ 0.2200 ,$ 0.2200 ,$ 0.2500 ,$ 0.2500 ,$ 0.2500 ,$ 0.2500 ,$ 0.2200 ,$ 0.2200 ,$-,$-,$-
,Can,$ 0.0912 ,$ 0.0802 ,$ 0.0912 ,$ 0.0912 ,$ 0.0802 ,$ 0.0802 ,$ 0.0912 ,$ 0.0912 ,$ 0.0912 ,$ 0.0912 ,$ 0.0802 ,$ 0.0802 ,$-,$-,$-
,,,,,,,,,,,,,,,,
KENTUCKY SurChg ,U.S.,$ 0.0450 ,$ 0.1050 ,$ 0.0450 ,$ 0.0450 ,$ 0.1050 ,$ 0.1050 ,$ 0.0450 ,$ 0.0450 ,$ 0.0450 ,$ 0.0450 ,$ 0.1050 ,$ 0.1050 ,$-,$-,$-
,Can,$ 0.0164 ,$ 0.0382 ,$ 0.0164 ,$ 0.0164 ,$ 0.0382 ,$ 0.0382 ,$ 0.0164 ,$ 0.0164 ,$ 0.0164 ,$ 0.0164 ,$ 0.0382 ,$ 0.0382 ,$-,$-,$-
,,,,,,,,,,,,,,,,
LOUISIANA #21,U.S.,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.1460 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$ 0.2000 ,$-,$-,$-
,Can,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0533 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$ 0.0728 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MAINE ,U.S.,$-,$ 0.3120 ,$-,$ 0.2190 ,$ 0.1780 ,$ 0.3078 ,$ 0.1980 ,$ 0.1470 ,$-,$-,$-,$ 0.3120 ,$-,$-,$-
,Can,$-,$ 0.1137 ,$-,$ 0.0799 ,$ 0.0648 ,$ 0.1122 ,$ 0.0722 ,$ 0.0535 ,$-,$-,$-,$ 0.1137 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MARYLAND #23,U.S.,$ 0.4600 ,$ 0.4675 ,$ 0.4600 ,$ 0.4600 ,$ 0.4600 ,$ 0.4600 ,$ 0.4600 ,$ 0.4600 ,$ 0.4600 ,$-,$-,$ 0.4675 ,$-,$-,$-
,Can,$ 0.1676 ,$ 0.1704 ,$ 0.1676 ,$ 0.1676 ,$ 0.1676 ,$ 0.1676 ,$ 0.1676 ,$ 0.1676 ,$ 0.1676 ,$-,$-,$ 0.1704 ,$-,$-,$-
,,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
MASSACHUSETTS ,U.S.,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2360 ,$ 0.2360 ,$ 0.2360 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$ 0.2400 ,$-,$-,$-
,Can,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0861 ,$ 0.0861 ,$ 0.0861 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$ 0.0875 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MICHIGAN ,U.S.,$ 0.4550 ,$ 0.5070 ,$ 0.4550 ,$ 0.5070 ,$ 0.5070 ,$ 0.4550 ,$ 0.4550 ,$ 0.4550 ,$ 0.4550 ,$ 0.4550 ,$ 0.5070 ,$ 0.5070 ,$-,$ 0.5070 ,$ 0.4550 
,Can,$ 0.1658 ,$ 0.1847 ,$ 0.1658 ,$ 0.1847 ,$ 0.1847 ,$ 0.1658 ,$ 0.1658 ,$ 0.1658 ,$ 0.1658 ,$ 0.1658 ,$ 0.1847 ,$ 0.1847 ,$-,$ 0.1847 ,$ 0.1658 
,,,,,,,,,,,,,,,,
MINNESOTA #16,U.S.,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.2390 ,$ 0.1920 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.2259 ,$-,$ 0.3180 ,$ 0.3180 ,$-,$-,$-
,Can,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.0871 ,$ 0.0700 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.0824 ,$-,$ 0.1159 ,$ 0.1159 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MISSISSIPPI #2,U.S.,$ 0.2100 ,$ 0.2100 ,$ 0.2100 ,$ 0.1700 ,$ 0.1800 ,$ 0.2280 ,$ 0.2100 ,$ 0.2100 ,$ 0.2100 ,$ 0.2100 ,$ 0.2100 ,$ 0.2100 ,$-,$-,$-
,Can,$ 0.0766 ,$ 0.0766 ,$ 0.0766 ,$ 0.0619 ,$ 0.0657 ,$ 0.0831 ,$ 0.0766 ,$ 0.0766 ,$ 0.0766 ,$ 0.0766 ,$ 0.0766 ,$ 0.0766 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MISSOURI #3,U.S.,$ 0.2950 ,$ 0.2950 ,$ 0.2950 ,$ 0.1700 ,$ 0.1700 ,$ 0.1700 ,$ 0.2950 ,$-,$ 0.2950 ,$ 0.2950 ,$-,$ 0.2950 ,$-,$-,$-
,Can,$ 0.1075 ,$ 0.1075 ,$ 0.1075 ,$ 0.0619 ,$ 0.0619 ,$ 0.0619 ,$ 0.1075 ,$-,$ 0.1075 ,$ 0.1075 ,$-,$ 0.1075 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MONTANA #9,U.S.,$-,$ 0.2975 ,$-,$ 0.0518 ,$-,$ 0.0700 ,$-,$-,$-,$-,$-,$ 0.2975 ,$-,$-,$-
,Can,$-,$ 0.1084 ,$-,$ 0.0189 ,$-,$ 0.0255 ,$-,$-,$-,$-,$-,$ 0.1084 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEBRASKA ,U.S.,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$ 0.3180 ,$-,$ 0.3180 ,$ 0.3180 
,Can,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$ 0.1159 ,$-,$ 0.1159 ,$ 0.1159 
,,,,,,,,,,,,,,,,
NEVADA ,U.S.,$ 0.2300 ,$ 0.2700 ,$ 0.2300 ,$ 0.0640 ,$ 0.2700 ,$ 0.2100 ,$ 0.2300 ,$ 0.2300 ,$ 0.2300 ,$-,$ 0.1900 ,$ 0.2700 ,$-,$-,$-
,Can,$ 0.0839 ,$ 0.0984 ,$ 0.0839 ,$ 0.0233 ,$ 0.0984 ,$ 0.0766 ,$ 0.0839 ,$ 0.0839 ,$ 0.0839 ,$-,$ 0.0693 ,$ 0.0984 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEW HAMPSHIRE ,U.S.,$-,$ 0.2220 ,$-,$ 0.2220 ,$ 0.2220 ,$ 0.2220 ,$-,$-,$-,$-,$-,$ 0.2220 ,$-,$-,$-
,Can,$-,$ 0.0810 ,$-,$ 0.0810 ,$ 0.0810 ,$ 0.0810 ,$-,$-,$-,$-,$-,$ 0.0810 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEW JERSEY ,U.S.,$ 0.4490 ,$ 0.5190 ,$ 0.4490 ,$ 0.3965 ,$-,$-,$ 0.4490 ,$ 0.4490 ,$ 0.4490 ,$ 0.4490 ,$ 0.4490 ,$ 0.5190 ,$-,$-,$-
,Can,$ 0.1636 ,$ 0.1892 ,$ 0.1636 ,$ 0.1446 ,$-,$-,$ 0.1636 ,$ 0.1636 ,$ 0.1636 ,$ 0.1636 ,$ 0.1636 ,$ 0.1892 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEW MEXICO #33,U.S.,$ 0.1200 ,$ 0.2100 ,$ 0.1200 ,$ 0.1200 ,$ 0.2060 ,$ 0.1330 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 ,$ 0.1200 
,Can,$ 0.0437 ,$ 0.0766 ,$ 0.0437 ,$ 0.0437 ,$ 0.0751 ,$ 0.0484 ,$ 0.0437 ,$ 0.0437 ,$ 0.0437 ,$ 0.0437 ,$ 0.0437 ,$ 0.0437 ,$ 0.1656 ,$ 0.0437 ,$ 0.0437 
,,,,,,,,,,,,,,,,
NEW YORK #11,U.S.,$ 0.4050 ,$ 0.3875 ,$ 0.4050 ,$ 0.2400 ,$-,$-,$ 0.4050 ,$ 0.4050 ,$-,$ 0.4050 ,$ 0.4050 ,$-,$-,$-,$-
,Can,$ 0.1476 ,$ 0.1413 ,$ 0.1476 ,$ 0.0875 ,$-,$-,$ 0.1476 ,$ 0.1476 ,$-,$ 0.1476 ,$ 0.1476 ,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
NORTH CAROLINA #24,U.S.,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$ 0.4030 ,$-,$ 0.4030 ,$-
,Can,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$ 0.1469 ,$-,$ 0.1469 ,$-
,,,,,,,,,,,,,,,,
NORTH DAKOTA ,U.S.,$ 0.2300 ,$ 0.2300 ,$ 0.2300 ,$ 0.2300 ,$-,$ 0.2300 ,$-,$-,$-,$-,$-,$ 0.2300 ,$ 0.0800 ,$ 0.3200 ,$-
,Can,$ 0.0839 ,$ 0.0839 ,$ 0.0839 ,$ 0.0839 ,$-,$ 0.0839 ,$-,$-,$-,$-,$-,$ 0.0839 ,$ 0.1104 ,$ 0.1166 ,$-
,,,,,,,,,,,,,,,,
OHIO #28,U.S.,$ 0.3850 ,$ 0.4700 ,$ 0.3850 ,$ 0.4700 ,$ 0.4700 ,$ 0.4700 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$ 0.3850 ,$ 0.4700 ,$ 0.4700 ,$-,$-,$-
,Can,$ 0.1403 ,$ 0.1714 ,$ 0.1403 ,$ 0.1714 ,$ 0.1714 ,$ 0.1714 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$ 0.1403 ,$ 0.1714 ,$ 0.1714 ,$-,$-,$-
,,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
OKLAHOMA ,U.S.,$ 0.1900 ,$ 0.1900 ,$ 0.1900 ,$ 0.1600 ,$ 0.0500 ,$ 0.0500 ,$ 0.1900 ,$ 0.1900 ,$ 0.1900 ,$ 0.1900 ,$ 0.1900 ,$ 0.1900 ,$-,$-,$-
,Can,$ 0.0693 ,$ 0.0693 ,$ 0.0693 ,$ 0.0584 ,$ 0.0182 ,$ 0.0182 ,$ 0.0693 ,$ 0.0693 ,$ 0.0693 ,$ 0.0693 ,$ 0.0693 ,$ 0.0693 ,$-,$-,$-
,,,,,,,,,,,,,,,,
OREGON ,U.S.,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,Can,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
PENNSYLVANIA #4,U.S.,$ 0.5760 ,$ 0.7410 ,$ 0.5760 ,$ 0.4250 ,$ 0.6480 ,$ 0.5760 ,$ 0.3840 ,$ 0.2890 ,$ 0.4130 ,$ 0.3320 ,$ 0.7410 ,$ 0.7410 ,$ 0.0172 ,$ 0.5760 ,$ 0.5760 
,Can,$ 0.2100 ,$ 0.2701 ,$ 0.2100 ,$ 0.1549 ,$ 0.2362 ,$ 0.2100 ,$ 0.1400 ,$ 0.1054 ,$ 0.1505 ,$ 0.1210 ,$ 0.2701 ,$ 0.2701 ,$ 0.0237 ,$ 0.2100 ,$ 0.2100 
,,,,,,,,,,,,,,,,
RHODE ISLAND #34,U.S.,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$ 0.4000 ,$-,$-,$-
,Can,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$ 0.1458 ,$-,$-,$-
,,,,,,,,,,,,,,,,
SOUTH CAROLINA #22,U.S.,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$ 0.2800 ,$-,$-,$-
,Can,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$ 0.1021 ,$-,$-,$-
,,,,,,,,,,,,,,,,
SOUTH DAKOTA ,U.S.,$ 0.2800 ,$ 0.2800 ,$-,$ 0.2000 ,$ 0.1400 ,$ 0.1000 ,$ 0.1400 ,$ 0.1400 ,$-,$-,$-,$ 0.2800 ,$-,$-,$-
,Can,$ 0.1021 ,$ 0.1021 ,$-,$ 0.0728 ,$ 0.0510 ,$ 0.0364 ,$ 0.0510 ,$ 0.0510 ,$-,$-,$-,$ 0.1021 ,$-,$-,$-
